名称,类型,预充值金额,初始价格,最终价格,通用流量,定向流量,通话时长
电信沧久卡【19元185G+长期套餐】,长期卡,50,19,19,155G,30G,0分钟
电信沧蒙卡【19元255G】,短期卡,100,19,39,225G,30G,0分钟
联通梦明卡【29元210G+200分钟】,短期卡,100,29,39,210G,0G,200分钟
电信沧甘卡【19元235G+200分钟】,短期卡,100,19,39,205G,30G,200分钟
电信沧吉卡新【29元200G】,长期卡,100,29,29,170G,30G,0分钟
移动火锅卡【19元188G+通话0.1】,短期卡,50,19,39,158G,30G,0分钟
电信沧矿卡【19元225G通用+30G定向】,短期卡,50,19,39,225G,30G,0分钟
电信梦乐卡【19元285G+100分钟】,短期卡,100,19,29,205G,80G,100分钟
电信沧乐卡【19元285G+100分钟】,短期卡,100,19,29,205G,80G,100分钟
电信海吉卡【39元280G】,长期卡,100,39,39,250G,30G,0分钟
电信沧吉卡【29元200G】,长期卡,100,29,29,170G,30G,0分钟
电信新梦岳卡【29元185G+100分】,长期卡,100,29,29,155G,30G,100分钟
电信新沧岳卡【29元185G+100分】,长期卡,100,29,29,155G,30G,100分钟
电信沧胜卡【19元185G+100分】,短期卡,40,19,29,155G,30G,100分钟
联通海畅卡【9元100G+300分钟】,短期卡,100,11,29,100G,0G,300分钟
移动沧夏卡【19元188G】,短期卡,50,19,39,158G,30G,0分钟
电信梦雨卡【29元210G长期套餐】,长期卡,100,29,29,180G,30G,0分钟
电信沧雨卡【29元210G长期套餐】,长期卡,100,29,29,180G,30G,0分钟
电信梦水卡【29元185G+100分钟长期套餐】,长期卡,100,29,29,155G,30G,100分钟
电信沧水卡【29元185G+100分钟长期套餐】,长期卡,100,29,29,155G,30G,100分钟
电信19元255G沧期卡【最新】,短期卡,100,19,39,225G,30G,0分钟
联通沧游卡【29元185G+100分钟】,长期卡,100,39,39,185G,0G,100分钟
联通梦珠卡【19元200G+100分钟】,短期卡,100,19,39,200G,0G,100分钟
电信梦州卡【29元235G+100分钟】,长期卡,100,29,29,205G,30G,100分钟
电信沧州卡【29元235G+100分钟】,长期卡,100,29,29,205G,30G,100分钟
电信梦圳卡【19元235G+100分钟】,短期卡,100,19,39,205G,30G,100分钟
电信沧圳卡【19元235G+100分钟】,短期卡,100,19,39,205G,30G,100分钟
联通沧露卡【小靓号】,长期卡,100,39,39,200G,0G,100分钟
联通梦南卡【29元235G】,短期卡,50,29,39,205G,30G,0分钟
电信沧群卡【19元195G】,短期卡,40,19,29,165G,30G,0分钟
电信梦首卡【29元320无语音功能】,短期卡,100,29,59,290G,30G,0分钟
电信沧首卡【29元320无语音功能】,短期卡,100,29,59,290G,30G,0分钟
电信梦都卡【19元280无语音功能】,短期卡,100,19,39,250G,30G,0分钟
电信沧都卡【19元280无语音功能】,短期卡,100,19,39,250G,30G,0分钟
电信梦广卡【285G+100分钟仅发广东省内】,长期卡,100,29,29,205G,80G,100分钟
联通沧浪卡【8元100G通用+500分钟+视频会员】（下单需上传照片）,短期卡,100,8,28,100G,0G,500分钟
电信海夏卡【19元185G 两年19】,短期卡,40,19,39,155G,30G,0分钟
电信新沧久卡【19元155G 长期19】,短期卡,50,19,39,125G,30G,0分钟
电信沧夏卡【19元185G 两年19】,短期卡,40,19,39,155G,30G,0分钟
电信沧星卡【一年19元185G】,短期卡,100,19,29,155G,30G,0分钟
联通沧南卡【29元235G】,长期卡,100,39,39,205G,30G,0分钟
电信广东省内专用卡【19元包235G+100分钟】,短期卡,100,19,39,205G,30G,100分钟
电信沧久卡【长期套餐】,长期卡,50,19,19,70G,30G,0分钟
联通沧爽卡【9元100g+500分钟+视频会员】,短期卡,100,11,9,100G,0G,500分钟
联通海露卡【29元200G+100分钟】,短期卡,100,29,39,200G,0G,100分钟
联通海清卡【两年19】,短期卡,100,19,39,135G,0G,100分钟
电信沧淮卡【19元135G】,短期卡,120,19,29,105G,30G,0分钟
电信梦岳卡【长期套餐】,长期卡,100,29,29,155G,30G,100分钟
电信沧岳卡【长期套餐】,长期卡,100,29,29,155G,30G,100分钟
联通浙江省内专属卡【两年19】,短期卡,100,19,29,135G,0G,100分钟
